,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,," $	3,906.85 "
,,,,,,,,,,,,,,,,,,,,
asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,product-size-tier,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee
B017SFOQPE,X000W9B31F,Skins for PS4 Controller - Decals for Playstation 4 Games - Stickers Cover for PS4 Slim Sony Play Station Four Controllers PS4 Pro Accessories PS4 Remote Wireless Dualshock 4 Skin - Universe,EWR4,US,7.09,4.33,0.04,inches,0.02,pounds,7.00E-04,cubic feet,Standard-Size,1.47,0,0.001,2017-11,2.35,USD,0.0024
B017SFOQPE,X000W9B31F,Skins for PS4 Controller - Decals for Playstation 4 Games - Stickers Cover for PS4 Slim Sony Play Station Four Controllers PS4 Pro Accessories PS4 Remote Wireless Dualshock 4 Skin - Universe,MKE1,US,7.09,4.33,0.04,inches,0.02,pounds,7.00E-04,cubic feet,Standard-Size,1.47,0,0.001,2017-11,2.35,USD,0.0023
B017SFOQPE,X000W9B31F,Skins for PS4 Controller - Decals for Playstation 4 Games - Stickers Cover for PS4 Slim Sony Play Station Four Controllers PS4 Pro Accessories PS4 Remote Wireless Dualshock 4 Skin - Universe,BWI2,US,7.09,4.33,0.04,inches,0.02,pounds,7.00E-04,cubic feet,Standard-Size,0.07,0,0,2017-11,2.35,USD,0
B017SFOQPE,X000W9B31F,Skins for PS4 Controller - Decals for Playstation 4 Games - Stickers Cover for PS4 Slim Sony Play Station Four Controllers PS4 Pro Accessories PS4 Remote Wireless Dualshock 4 Skin - Universe,MDW7,US,7.09,4.33,0.04,inches,0.02,pounds,7.00E-04,cubic feet,Standard-Size,0.33,0,2.00E-04,2017-11,2.35,USD,5.00E-04
B017SFOQPE,X000W9B31F,Skins for PS4 Controller - Decals for Playstation 4 Games - Stickers Cover for PS4 Slim Sony Play Station Four Controllers PS4 Pro Accessories PS4 Remote Wireless Dualshock 4 Skin - Universe,BFI4,US,7.09,4.33,0.04,inches,0.02,pounds,7.00E-04,cubic feet,Standard-Size,0.53,0,4.00E-04,2017-11,2.35,USD,9.00E-04
B017SFOQPE,X000W9B31F,Skins for PS4 Controller - Decals for Playstation 4 Games - Stickers Cover for PS4 Slim Sony Play Station Four Controllers PS4 Pro Accessories PS4 Remote Wireless Dualshock 4 Skin - Universe,LGA9,US,7.09,4.33,0.04,inches,0.02,pounds,7.00E-04,cubic feet,Standard-Size,0.03,0,0,2017-11,2.35,USD,0
B01GPWG0T6,X0014FWWAH,Zodiac Necklace Plated Silver Pendant Constellation Necklace Astrology Choker - Capricorn,DFW7,US,3.2,2.2,1.2,inches,0.05,pounds,0.0049,cubic feet,Standard-Size,0.3,0,0.0015,2017-11,2.35,USD,0.0035
B01GPWG0T6,X0014FWWAH,Zodiac Necklace Plated Silver Pendant Constellation Necklace Astrology Choker - Capricorn,ONT2,US,3.2,2.2,1.2,inches,0.05,pounds,0.0049,cubic feet,Standard-Size,0.07,0,3.00E-04,2017-11,2.35,USD,7.00E-04
B017SFOQPE,X00181XIZ5,Skins for PS4 Controller - Decals for Playstation 4 Games - Stickers Cover for PS4 Slim Sony Play Station Four Controllers PS4 Pro Accessories PS4 Remote Wireless Dualshock 4 Skin - Universe,IND1,US,7.09,4.33,0.04,inches,0.02,pounds,7.00E-04,cubic feet,Standard-Size,0.13,0,1.00E-04,2017-11,2.35,USD,2.00E-04
B01GPWG0T6,X0014FWWAH,Zodiac Necklace Plated Silver Pendant Constellation Necklace Astrology Choker - Capricorn,LEX1,US,3.2,2.2,1.2,inches,0.05,pounds,0.0049,cubic feet,Standard-Size,0.07,0,3.00E-04,2017-11,2.35,USD,7.00E-04
B017SFOQPE,X000W9B31F,Skins for PS4 Controller - Decals for Playstation 4 Games - Stickers Cover for PS4 Slim Sony Play Station Four Controllers PS4 Pro Accessories PS4 Remote Wireless Dualshock 4 Skin - Universe,ONT6,US,7.09,4.33,0.04,inches,0.02,pounds,7.00E-04,cubic feet,Standard-Size,0.23,0,2.00E-04,2017-11,2.35,USD,5.00E-04
B01LWOPTJK,X0017SUTR9,Silicone Case Cover for Smart Two Wheels Self Balancing Electric Scooters - Balance Board Protector Accessories for 6.5 Inch Hover Board Blue,BWI2,US,6.7,6.3,1.7,inches,0.14,pounds,0.0415,cubic feet,Standard-Size,1,0,0.0415,2017-11,2.35,USD,0.0975
B00GXIW6W8,X000NONBW3,PS4 Designer Skin for Sony PlayStation 4 Console System plus Two(2) Decals for: PS4 Dualshock Controller - Big Ballin,TPA1,US,13.58,8.9,0.47,inches,0.2,pounds,0.0329,cubic feet,Standard-Size,1,0,0.0329,2017-11,2.35,USD,0.0773
B00GXIW6W8,X000NONBW3,PS4 Designer Skin for Sony PlayStation 4 Console System plus Two(2) Decals for: PS4 Dualshock Controller - Big Ballin,CHA1,US,13.58,8.9,0.47,inches,0.2,pounds,0.0329,cubic feet,Standard-Size,3.57,0,0.1175,2017-11,2.35,USD,0.2761
B00GXIW6W8,X000NONBW3,PS4 Designer Skin for Sony PlayStation 4 Console System plus Two(2) Decals for: PS4 Dualshock Controller - Big Ballin,DFW7,US,13.58,8.9,0.47,inches,0.2,pounds,0.0329,cubic feet,Standard-Size,1.8,0,0.0592,2017-11,2.35,USD,0.1391
B01LWOPTJK,X0017SUTR9,Silicone Case Cover for Smart Two Wheels Self Balancing Electric Scooters - Balance Board Protector Accessories for 6.5 Inch Hover Board Blue,HOU2,US,6.7,6.3,1.7,inches,0.14,pounds,0.0415,cubic feet,Standard-Size,0.67,0,0.0278,2017-11,2.35,USD,0.0653
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,HOU2,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,7,0,0.0182,2017-11,2.35,USD,0.0428
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,JAX2,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,1,0,0.0026,2017-11,2.35,USD,0.0061
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,TPA1,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,3,0,0.0078,2017-11,2.35,USD,0.0183
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,MSP1,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,3,0,0.0078,2017-11,2.35,USD,0.0183
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,SAT2,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,1,0,0.0026,2017-11,2.35,USD,0.0061
B017SFOQPE,X00181XIZ5,Skins for PS4 Controller - Decals for Playstation 4 Games - Stickers Cover for PS4 Slim Sony Play Station Four Controllers PS4 Pro Accessories PS4 Remote Wireless Dualshock 4 Skin - Universe,OAK4,US,7.09,4.33,0.04,inches,0.02,pounds,7.00E-04,cubic feet,Standard-Size,0.43,0,3.00E-04,2017-11,2.35,USD,7.00E-04
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,BWI2,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,6,0,0.0156,2017-11,2.35,USD,0.0367
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,BFI4,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,2,0,0.0052,2017-11,2.35,USD,0.0122
B00GXIW6W8,X000NONBW3,PS4 Designer Skin for Sony PlayStation 4 Console System plus Two(2) Decals for: PS4 Dualshock Controller - Big Ballin,PHL7,US,13.58,8.9,0.47,inches,0.2,pounds,0.0329,cubic feet,Standard-Size,0.03,0,0.001,2017-11,2.35,USD,0.0024
B01M71S84I,X0018Q8HKB,K-Pop Kawaii Classic Stripes Mock Knee High Tattoo Tights Stockings for Women Girls,SDF8,US,10,5.3,0.9,inches,0.15,pounds,0.0276,cubic feet,Standard-Size,0.63,0,0.0174,2017-11,2.35,USD,0.0409
B01M71S84I,X0018Q8HKB,K-Pop Kawaii Classic Stripes Mock Knee High Tattoo Tights Stockings for Women Girls,DFW7,US,10,5.3,0.9,inches,0.15,pounds,0.0276,cubic feet,Standard-Size,0.3,0,0.0083,2017-11,2.35,USD,0.0195
B01GPWG0T6,X0014FWWAH,Zodiac Necklace Plated Silver Pendant Constellation Necklace Astrology Choker - Capricorn,IND1,US,3.2,2.2,1.2,inches,0.05,pounds,0.0049,cubic feet,Standard-Size,0.2,0,0.001,2017-11,2.35,USD,0.0024
B01M71S84I,X0018Q8HKB,K-Pop Kawaii Classic Stripes Mock Knee High Tattoo Tights Stockings for Women Girls,CMH1,US,10,5.3,0.9,inches,0.15,pounds,0.0276,cubic feet,Standard-Size,0.33,0,0.0091,2017-11,2.35,USD,0.0214
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,MDW4,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,8,0,0.0208,2017-11,2.35,USD,0.0489
B01M71S84I,X0018Q8HKB,K-Pop Kawaii Classic Stripes Mock Knee High Tattoo Tights Stockings for Women Girls,MKE1,US,10,5.3,0.9,inches,0.15,pounds,0.0276,cubic feet,Standard-Size,0.07,0,0.0019,2017-11,2.35,USD,0.0045
B01M71S84I,X0018Q8HKB,K-Pop Kawaii Classic Stripes Mock Knee High Tattoo Tights Stockings for Women Girls,BWI2,US,10,5.3,0.9,inches,0.15,pounds,0.0276,cubic feet,Standard-Size,0.07,0,0.0019,2017-11,2.35,USD,0.0045
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,PHL7,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,5,0,0.013,2017-11,2.35,USD,0.0306
B01M71S84I,X0018Q8HKB,K-Pop Kawaii Classic Stripes Mock Knee High Tattoo Tights Stockings for Women Girls,ONT6,US,10,5.3,0.9,inches,0.15,pounds,0.0276,cubic feet,Standard-Size,0.87,0,0.024,2017-11,2.35,USD,0.0564
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,ABE2,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,4,0,0.0104,2017-11,2.35,USD,0.0244
B01MRNPMPC,X0019SHZGP,TQS Metallic Pleated Skirt Skater Skirt Short Shiny Liquid Wet Look Purple Dress for Women,SDF8,US,7.52,7.01,0.98,inches,0.3,pounds,0.0299,cubic feet,Standard-Size,0.23,0,0.0069,2017-11,2.35,USD,0.0162
