==================================
===      ebay-tqs      ===
==================================
==================================
===      Amazon-wsd      ===
==================================
		0.832
TORN-HM72-3-SOP465		2.288
WLE-PNK-HG6-6-SPTCVR96		3.328
BLU58BLK_PS3_SiSK_25LC82		0.832
WATMELN-YJ3-7-KNIFE65_3		0.728
WATMELN-YJ3-7-KNIFE65_2		0.728
FLGHORZ-HM26-3-COX175-LH0		0.312
WEDBLK1-HM5-2-C0X1-7LH		0.312
MURD-HM32-7-SOP487		2.288
INJUT-HM28-8-SOP310		1.248
SWRC603_017-700_FLPP_S		12.064
CODIII-HM11-5-S0X182		2.08
15MBLU-RUSSE1-8MD6-ROP60		13.52
SWRC607_009_803_RDRF_S		9.36
CODG-HM78-8-SOX159		2.08
SMAN-HM2-6-C0P3-1HG		0.312
GHOS-HM22-1-COP320-HG8		0.312
SMAN-HM2-7-C0P4-9HG		0.312
GHOS-HM69-1-SOP493		2.288
SWRC607_009_803_RDRF_L		9.36
SUHEROES-HM15-0-C0P332		0.312
GREEN-ZF7-3-P4BTN25-BUTN		1.248
SWRC607_009_803_RDRF_M		9.36
SMAN-HM9-0-C0P3-5LH		0.312
DRAGONB-HMP0-1-LIGTBAR35		0.7488
DIGIGRN-HM92-3-COX172-HG7		0.312
SWRC808_001-611_SPGN_L		9.984
SWRC808_001-611_SPGN_M		9.984
BATMAN-HM1-3-S0P4-698		2.288
NBA-HM58-5-SOX312		2.08
GREEN-ZF3-1-P4BTN19-DPAD		1.56
SWRC870_A01_01A_PMBU_L		11.856
SWRC870_A01_01A_PMBU_M		11.856
REBLK-HM60-3-COP337-LH3		0.312
ORG-X1NM-LC85-8-SHLL89		3.744
SWRC808_001-611_SPGN_S		9.984
SHPOWLEGL-HM5-3-YETI-203090		1.248
SWRC603_017-700_FLPP_L		12.064
MRSUS-HM92-2-SOX153		2.08
SWRC603_017-700_FLPP_M		12.064
VATBOY-HM18-1-S0X152		2.08
JOBTMAN-HM17-2-C0P359		0.312
SLI-DEDPOL-HM6-5-PS4S66		2.3295999
JOBTMAN-HM10-7-C0X326		0.312
EMOJI-HM3-6-HOVER-TRX262		2.288
9MPUM-RUSSE1-8MD6-ROP31		9.152
001GALAXY-HM7-2-SPS4-259		2.288
BHM-GLD-SRA8-7-3SETER56		3.12
WEDBLK1-HM8-9-C0X3-5LH		0.312
BIOH-HM38-1-SOX383		2.08
SWRC870_A01_01A_PMBU_S		11.856
GMREP-HM88-5-SOX120		2.08
FLYPNK-HM9-3-C0P4-1LH		0.312
FLYLVN-HM0-6-C0P3-1LH		0.312
TORAD-HM92-3-SOX182		2.08
DIGIPNK-HM92-3-COP370-LH8		0.312
SUHEROES-HM12-7-C0X388		0.312
RED-HM87-2-SOP410		2.288
EMOJI-HM2-6-S0SW97		1.664
DODEERHUT-HM7-7-YETI-203023		1.248
SLI-WEEDS-HM1-7-PS4S97		2.3295999
PS3-BRWWHT-BLKGRN-YLWRED-BLKRED-WSD		3.328
PRINTED-HM1-9-C0X1-991		0.312
SMAN-HM2-1-C0X3-6LH		0.312
RED-PS3CR-ZF32-1-SHLL10		2.08
FLGSLNT-HM3-3-C0X1-0LH		0.312
WADOG-HM32-5-SOX395		2.08
BOATREDOG-HM6-6-YETI-203087		1.248
BATMAN-HM75-6-SOP483		2.288
3GREREDPUP-LEAFZZ-5-TEA-329		0.5616
BLKFLG-HM79-8-SOP487		2.288
GREFRE-HM12-5-HOVER59		2.184
FLYPNK-HM27-8-COX152-HG2		0.312
8-RUSL6011-2NET-01203000WARMW		4.16
15MWMW-RUSSE5-8MD5-ROP20		14.144
BLKBLU-ZFN0-8-P3CTLR62		8.736
GHOS-HM88-5-COX386-HG3		0.312
STASTRIP-HM2-1-S0SW72		1.664
WHITE1515-RU-10-GNET-367		4.576
7-RUSL0861-2NET-29203008PINK		4.16
GODWAR-HM38-1-SOP495		2.288
GTAV-HM9-6-SOX165		2.08
COLOR-ZF8-3-P4BTN27-BUTN		1.248
ASIBF-HM1-2-SOP391		1.248
PUREBLK-ZFN8-8-P3CTLR8		8.736
KOVT-AMH-S66-3-NKLC38		1.89696
BLALSTIR-SAR6-LEGIN23		1.248
BLIN-HM35-1-SOP475		2.288
90MM-GPGS8-0-WALSAVR62		1.63904
X3-BLKBLU-GRNBLU-WSD		3.328
IVY-2P-AK6-3-WINCDL65		2.4128
BFLD-HM72-2-SOP488		2.288
STRIP-SAR6-LEGIN75		1.248
SQUARE-SAR6-LEGIN11		3.536
RED-ZF6-3-P4BTN58-DPAD		1.56
LTBAR-TSION1-8-LIGTBAR33		1.7055999
BLK-X1NM-LC88-3-SHLL58		3.744
ASYFYHST-GLD-S62-3-BCLT25		1.5807999
BLK32GRN_X3_SiSK_6LC20		0.0
5-RUSL0571-1NET-37151526YELLW		4.16
BLUDMN-HM80-3-COX170-HG2		0.312
FLGHORZ-HM51-3-COP378-HG7		0.312
SLV-6P-AK6-5-WINCDL21		6.6976004
WTNO-HM83-3-SOP378		1.248
SKULRED-HM99-7-COX316-HG2		0.312
WEED-HM88-5-SOP42		2.288
HALO-HM23-8-SOX181		2.08
ASSASS-HM59-6-SOX17		2.08
CODGO-HM85-5-SOX310		2.08
DIGIGRN-HM8-9-C0P3-1HG		0.312
9-RUSL5261-1NET-62151500PURPL		4.16
PURPL1515-RU-88-GNET-905		4.576
JUWD-HM66-5-SOX179		2.08
COLOR2030-RU-99-NET-065		4.576
PPL-P4CR-LC91-2-SHUP80		1.872
SLV-PS3CR-ZF35-8-SHLL82		2.08
WLE-BLU-HG5-8-SPTCVR77		3.328
TSMI-HM68-2-SOP430		2.288
AMERFLAG-HM6-2-YETI-10OZ62		1.248
HNDSPN-BLACK-XL6-0-TOY38		3.12
25IN-WH-YJM7-5-CRMBAG-HME81		2.4336
TRECDL60-6P-LZL869		6.136
32IN-BLU-FJY7-3-CRMBLL-HME53		3.12
SWRC753_001_300_YLBU_S		8.112
BLU-X3NM-LC89-9-SHLL85		1.768
