==================================
===      ebay-tqs      ===
==================================
==================================
===      Amazon-wsd      ===
==================================
		0.832
KTZS422-P40S-00826013-981		2.288
2-100067671-1002-25230012		0.312
2-100067671-1002-25230011		0.312
2-100067671-1002-25230013		0.312
2-100067671-1002-25230010		0.312
9-10052381-3002-00160009		2.288
1-HMPT887-SPS4-23GOLDEN060		2.288
2-SAR3-VR-BCLT-PIN-59		6.916
HXL5077BAKET53_SHXL9677WAVE-FLTGREN2		14.56
6-NHLW66-SPT-70BKLED-SET001696		9.36
2-RUS82-ROP51-6M8MD-695BLU		6.24
5-SAR-1RNG75-PLT2FLW-71		2.95568
2-HMPT0290-CX36HG-0BTLFLG2665		0.312
7-SDLQ19-SPT-63-S666		3.328
2-HMPT816-S0P4-CTLPNL007		2.288
5-WZLI6247-S0X1-25MELT0320		2.08
2-SAR3-BTCUF-GRY-09		1.248
1-SAR5-LEGIN-STARWAR-86		3.536
2-100067671-1002-25230009		0.312
2-100067671-1002-25230008		0.312
6-AAA-NK002-OWL-65		0.624
5-SAR-RNG60-SLVBNY-12		0.1144
7-LZL67-TRECDL-6P806		6.136
9-HMPT2247-CPS4-53MONEYB		0.312
6-WZLI2247-S0P4-66TSMI0315		2.288
8-HMPT82-SPS4-62BLOODBOR286		2.288
8-10037211-1001-87390001		1.768
8-AAA-NK928-DINO-SLV316		1.144
5-HMPT3661-SXBO-32GTAV004		2.08
6-10030211-1001-84230002_CE		1.768
1-SAR6-ER-27TRIA-CSTL715		1.0753601
3-HMPT9763-C0X1HG-3FLGSLNT603		0.312
8-HMPT0187-C0X1HG-7WEDBLK2337		0.312
3-SAR-ER83-CLRBD-91		0.99840003
3-HMPT7701-C0X1LH-5NEBULA793		0.312
3-LZ59SH-2X36-8BLU-BLU-KWH		3.536
5-HMPT29-SPS4-55WOODEN861		2.288
0-SAR-1RNG10-SLV2FLW-51		2.95568
1-X-TEA-Leaf-1-PNK		0.5616
6-HMPT85-HOVER-T1-69STARS820		2.288
3-ZX90-RTN30-96WW		0.0
9-HMPT739FP-S0X1-4ASSC034		2.08
4-10055271-3001-45830006		2.08
7-HMPT6986-CPS4HG-6WEDBLK2392		0.312
6-HMPT7380-C0X1HG-0WEDBLK1057		0.312
7-HXL68-BAKET-66WAVE-FLTGREN333		8.736
5-SAR60-LEGIN-66TPIC-FLESH268__L		0.0
5-SAR60-LEGIN-66TPIC-FLESH268__M		0.0
6-HMPT5321-SPS4-58LEGO007		2.288
1-HXL67-BAKET-68SCALE-PURP163		8.736
5-SAR60-LEGIN-66TPIC-FLESH268__S		0.0
0-SARA78-RGSET5-88CRYTL-SLV937		2.808
5-10055641-3002-78600017		2.288
2-SAR3-BTCUF-BEIGE-72		1.248
6-HMPT96-HOVER-TRX2-71EMOJI531		2.288
7-SAR3-NKLC-3CHN-RD-DISK-20		0.90896
5-RUSL9731-2G40-0005M03BLUE		0.0
7-SAR-ER98-PNKBLL-68		1.6224
7-YWXD76-SPOT-30WRIST-B-BLK231		2.08
0-WZLI1247-S0P4-86SKUNK0314		2.288
5-ZHOUF521-0PS3-CR13877GOLD		9.984
6-HMPT62-HOVER-T1-91EMOJI382		2.288
6-DGHS77-SPTCVR-76EPT-PNK630		1.7055999
1-SAR-AKLT58-GLDPRL-65		1.4352
0-HMPT839FP-S0X3-5BTLF4202		2.08
9-RUSL6861-METE-7750CM38COLOR		7.904
3-WZLI3247-SP3S-75WEED0316		1.664
7-YH39-HM-XMSBAL-76-25IN-BLU616		1.872
2-XLY12-TOY-91HNDSPN-BLUE262		3.12
5-WZLI6247-S0X1-25MELT0320-1		2.08
9-HMPT339FP-S0X3-2NBA14225		2.08
3-ZF392-X1KEYB-612BLK		3.12
7-NBSE56-BATH-11KNEPAD-BL921		9.36
5-SAR-NKLC53-SLVSLPRL-28		0.8112
6-SAR5-8NKLC16-GEMIN90-56		5.0388002
5-HMPT009FP-S0P4-8GTAV214		2.288
X3-BLKGRN-BRWWHT		1.664
1-HMPT979FP-SP3S-3COD2BP005		1.248
1-X-TEA-Leaf-1-ORG		0.5616
0-SAR5-5NKLC61-LEO30-11		5.1376
6-HMPT6023-C0X1-0BLUEFIRE004		0.312
3-DGHS29-SPTCVR-95SEL-BLU758		3.328
5-WZLI8247-S0P4-95WEED0316		2.288
3-SAR5-6RNG-92595-CURVE32-89		1.65984
9-TOOL9881-X308-EGHT0001		0.52
0-HMPT33-S0X1-62VATBOY258		2.08
1-HMPT90-C0P4-30SUHEROES598		0.312
2-SAR6-CHKR-21PUNKMTL-SLV282		1.7784001
7-XCP-SPT-BKE37-BELL-CHE2		0.14559999
1-HMPT02-C0P3-85SUHEROES729		0.312
4-10057741-3001-00970010		2.08
9-SH33SZLC-P4NM-0062BLUE		3.744
7-YTOY22-TOY-25HNDSPN-LED-WHT613		2.08
8-SAR5-3NKLC68-CAPRI53-90		5.3352
8-WZLI9247-S0P4-36GHOS0313		2.288
2-JM67-HM-WRTHBAG-35-36IN-WH972		3.2656
0-HMPT63-HOVER-TRX2-86PURLIT895		2.288
0-RUS18-ROP19-6M4MD-013FLAT		9.3392
2-HBDL88-SPT-50MTLX-BLK315		4.16
0-HMPT1718-CPS3LH-8REBLK208		0.312
5-HMPT79DBL-C0X1-8BLUEFIRE-SPIDERMAN		0.4576
5-SAR3-LEGIN-TPIC-CAT-22		1.248
5-ZHOUF82-X3SISK-86BLKGRN360		0.832
6-ZHF18-P4BTN-BUTN-19RED37		1.248
3-SAR-3RGSET33-GLDWIDE-88		0.416
6-SAR6-SKIRT-PURPLE-18_XL		4.68
7-100072801-1001-68620001		0.312
7-HMPT13-SPS4-83DEDPOL697		2.288
5-SAR-BCLT16-GLDPALM-57		0.6656
2-HMPT510FP-SP3S-4FRFLAG102		1.248
2-ZHF27-P4BTN-DPAD-90ROSRD25		1.56
6-SARA32-ER3SET-12STUD8-GLD771		2.808
3-HMPT3152-XB36-8LEGOM012		2.08
0-SAR-NKERBR92-TURQ-52		3.432
8-HMPT28-YETI-2030-89ANCBOTLGH289		1.248
8-NHLW72-SPT-61BKBEL-RE-SILV668		0.4576
2-SAR-ER8-GLDS2PRL-72		0.208
6-ZX85-ICL35-88CLR		0.0
5-HMPT00-S0X1-38BATMAN260		2.08
2-SAR5-6SCRCH58-BLU38-19		0.99840003
6-LZ97SH-2X36-1BLK-BLK-KWH		3.536
8-AAA-NK928-DINO-BRNZ368		1.144
1-ZHOUF091-0PS3-CR70911PUPL_BX		9.984
6-HMPT1266-CX36LH-5FRFLAG553		0.312
1-HMPT82DBL-C0X1-0BLUEFIRE-BTLFLG		0.4576
6-YH26-HM-XMSBAL-92-32IN-SLV696		3.12
5-SH9229ZF-P3CR-7570PNK		2.08
9-RUS69-ROP76-12M8MD-566CLR_A		11.024
6-HMPT-SPS4-001GALAXY26		2.288
2-HMPT918-SPS4-56BATMAN361		2.288
8-10037211-1001-87390001_CE		1.768
5-SH02SZLC-P4NM-8558ORNG		3.744
7-HMPT0310-CX36HG-0BTLFLG1083		0.312
7-DYYY63-HM-GARLD33-10FT-LED266		6.24
8-SDLQ61-SPORT-91BLIND-10FT182		5.096
2-SH77SZLC-P4NM-6777GREN		3.744
2-SAR-NKLC55-YLWRIM-92		7.77504
5-HMPT92-SPS4-56SWORDA333		2.288
7-SAR-ER90-CRYSCWLR-53		0.7488
1-RUSL8611-1NET-01151586WARMW		3.328
5-SAR5-8SCK-PRL58-DGRPER97-36		1.4976
RC_SW56_CMPP_A07_04J_M		14.352
0-HMPT79-PS4S-22SLIM-005GALAXY527		2.3295999
5-ZHOUF85-X3SISK-66CAMGRN567		0.832
RC_SW56_CMPP_A07_04J_L		14.352
7-SHUP12LC-X1CR-136RED		1.872
0-HMPT929FP-S0X1-7GTAV214		2.08
RC_SW56_CMPP_A07_04J_S		14.352
9-HMPT289FP-S0X1-9COLSKUL288		2.08
6-SAR-CHKR53-SLVMTL-80		0.7072
2-HXL75-BAKET-61SCALE-BRTGREN887		8.736
6-SAR3-BTCUF-RDBKBG-80		3.744
8-HMPT1382-CX36HG-2WEDBLK2770		0.312
6-HMPT79-PS4S-65SLIM-BTLFLG353		2.3295999
8-SAR6-SKIRT-ROSE-52_S		4.68
5-GZPGS68-WallPads-2X65MM192		2.6540802
8-SAR6-SKIRT-ROSE-52_L		4.68
8-SAR6-SKIRT-ROSE-52_M		4.68
3-WZLI1247-S0P3-58GHOS0313-1		1.664
8-HMPT6283-SP3S-28BLUEFIRE016		1.248
2-HMPT7627-C0X1LH-7GHOS888		0.312
3-SAR3-BTCUF-KAKI-28		1.248
9-WZLI6431-00P4-BLCK0300		2.288
0-HMPT63-HOVER-T1-53GREFRE217		2.288
0-SAR5-3NKLC39-VIRGO79-21		5.1376
6-SAR5-0SCK-NOS37-6PPRP53-58		2.2464
3-HMPT8857-C0X1HG-7DIGIGRN766		0.312
0-LSE-IPH-ARMB75-55IN2		0.728
5-SAR-BCLT61-FNGRLOP-52		0.936
0-SAR5-9SCRCH20-BLACK21-63		0.6656
8-HMPT59-PS4S-25SLIM-KINHERT230		2.3295999
3-DGPY10-TOY-77HNDSPN-CHM-SLV153		4.576
9-HMPT3559-CX36LH-9GHOS613		0.312
8-SAR6-LEGIN-TPIC-TOTORO-18		1.248
1-SAR-CHKR69-RNSPRL-71		4.784
0-HMPT65-PS4S-61SLIM-TORNFLAG377		2.3295999
1-HMPT559FP-S0X3-7DHONR210		2.08
0-SAR-ER39-SNGLASY-86		0.99216
2-SAR-AKLT75-CRCLBD-97-2P		2.7872
5-HMPT919FP-S0X3-5DBL3209		2.08
8-AAA-NKERBRRG005-TQBSET-93		3.224
RC_SW29_BKVBU_800_3B_S		17.68
0-SH9296ZF-P3CR-7615GREN		2.08
2-ZHF96-P4BTN-THUM-50GREEN95		1.248
RC_SW29_BKVBU_800_3B_M		17.68
RC_SW29_BKVBU_800_3B_L		17.68
2-SAR-NKLC72-TWOLEAF-1		0.52
7-ZHF25-P4BTN-DPAD-15RED26		1.56
5-RUSL05-G-1NET-37151526YELLW		4.576
0-HMPT959FP-S0P4-3MURD222		2.288
5-SAR3-LEGIN-TPIC-RABT-23		1.248
2-HMPT685FP-S0X1-8MOBSUIT931		2.08
6-JM60-HM-TREBAG-91-48IN-RED676		3.2656
0-WZLI0247-SP3S-20REAP0311		1.664
6-RUSL0351-METE-2330CM51COLOR		5.824
3-UNK26-SO-DTBD-60-18IN-FIB61		10.4
7-HMPT61-SPS4-62DRAGBZ789		2.288
7-RUSL71-G-2NET-27203053BLUE		5.824
6-AKT23-WINCDL-35IVY-6P271		6.1152
0-AAA-NK005-DF-55		0.624
1-10052341-3002-00120005		2.288
3-HMPT822-C0P4-PNKDIG232		0.312
9-SAR-CHKR77-CLCFMC-11		3.6504
2-XGS62-HOVERSISK-22BLWT887		3.328
7-SAR5-9RING13-ROUND62-18		3.0546463
8-SAR5-7SCARF00-J10N11-21		1.456
5-HMPT957FP-S0X1-0BLUFIRE663		2.08
1-X-TEA-Leaf-1-GREEN		0.5616
9-HMPT7193-CX36LH-3REBLK601		0.312
6-SAR5-3SCRCH82-CAFE50-58		2.08
8-HMPT9211-SPS4-016SON005		2.288
3-SHUP29LC-P4CR-583BLU		1.872
9-10052311-3002-00110004		2.288
1-HMPT8981-SXBO-21WOLF010		2.08
5-HMPT01-HOVER-86UNIVER650		2.184
0-HMPT07-C0P4-08VATBOY029		0.312
6-TOOL1341-X3X1-EGHT0002		0.52
0-RUS56-BatCu-2MFL-309PUW		1.664
5-SAR-ER57-HOLODMD-30		3.90416
7-100072801-1001-38620013		0.312
7-100072801-1001-38620010		0.312
0-HMPT6797-CX36HG-7WEDBLK1779		0.312
KTZS322-P40S-67786006-112		2.288
9-WZLI7247-S0P4-05REAP0311		2.288
7-100072801-1001-38620012		0.312
7-100072801-1001-38620011		0.312
2-SHLL6731-X1NM-BLUE0003		3.744
8-10034211-1001-89910004		1.768
8-HMPT2893-C0X1-6WEEDS003		0.312
3-SAR5-6SCK-CYT75-KAKCRY99-85		1.9136
2-NBS-SPT-GUN59-LYRD-GRN0		1.664
9-SAR5-7SCARF93-J11N60-66		1.456
1-DYYY75-HM-58XMAS-TREE-21M957		17.68
6-SAR5-5NKLC16-SCORP07-73		5.3352
RC_SW51_RDRF_009_803_S		9.36
6-HMPT59-YETI-10OZ-17ROSEBLUE862		1.248
8-SAR-NKLC71-2CLUROND-38		2.2464
7-100072801-1001-38620003		0.312
7-100072801-1001-38620002		0.312
7-100072801-1001-38620005		0.312
8-SAR-NKLC62-WPRLCUK-32		4.8672
7-100072801-1001-38620004		0.312
7-100072801-1001-38620007		0.312
7-100072801-1001-38620006		0.312
7-100072801-1001-38620009		0.312
7-100072801-1001-38620008		0.312
6-SAR6-LEGIN-LBLASTRPS-32		6.656
0-HMPT86-HOVER-76SPDSKUL529		2.184
1-HMPT82-HOVER-66LIGALAXY932		2.184
5-SAR-CHKR70-BDSMCHN-37		7.8
2-SAR3-RG-LACKNKL-GLD-76		1.04
5-SAR-ER29-SLVZZG-80		3.9312
8-XFJSZ55-HOOK-70HANGER-BK790		1.04
9-SAR-BCLT53-YLWBAND-99		0.0
9-SAR5-3RING60-TIP33-63		1.9954064
9-LZL28-LED-WW-9TEACDL99		6.76
2-SAR3-NKLC-HND-GLD-69		0.6136
6-YTOY10-TOY-77HNDSPN-LED-BLK832		2.08
7-HMPT22-S0SW-69DOODLE386		1.664
RC_SWM6_BLGR_001-100_M		9.984
RC_SWM6_BLGR_001-100_L		9.984
1-SAR-4RGSET2-GLDTHIN-66		0.3016
7-ZHF38-P4BTN-DPAD-73PURPL25		1.56
RC_SW51_RDRF_009_803_L		9.36
8-HMPT2351-SPS4-26FLAGD001		2.288
6-ZHF22-P4BTN-BUTN-56BLACK35		1.248
RC_SW51_RDRF_009_803_M		9.36
2-HMPT1968-S0P3-8BIOH017		1.248
2-100167671-0001-65230002		0.832
7-SAR6-SKIRT-RED-36_S		4.68
6-RUSL3121-2NET-73203055RED		4.576
3-SAR-1RNG56-SLV2BOW-12		2.85376
5-SAR-CHKR90-BLUFMC-26		3.6504
X3-BLKGRN-BLKBLU		1.664
RC_TOP7_RFPP_017-701_L		5.2
2-SARA93-ER-66TSL-FLG-SLV868		2.08
3-HMPT08-HOVER-12BLUFRE960		2.184
RC_SWM6_BLGR_001-100_S		9.984
6-ZF103-X3CTLR-578RED		9.984
9-SAR3-BTCUF-BLK-65		1.248
0-HXL75-BAKET-56WAVE-BRTGREN199		8.736
7-SAR6-SKIRT-RED-36_M		4.68
0-SAR6-CHKR-50METALGLD727		2.5895998
7-SAR6-SKIRT-RED-36_L		4.68
1-SAR5-7RING67-LAYER83-36		3.0142944
1-HMPT779FP-S0X1-2LGOMV233		2.08
8-LZL62-LED-WW-13IN-12TEALED12		8.8192005
0-SAR5-LEGIN-NYCITY-11		3.536
7-AAA-NK001-ER009-OWNSET-16		1.248
5-HMPT099FP-S0X3-0SPARK229		2.08
9-10053421-3002-65420013-1		2.288
3-SAR6-NKLC-82KOVT-AMH697		1.89696
7-SAR5-5SCARF99-J04N70-17		1.456
7-10054451-3001-77620023		2.08
2-HMPT039FP-SP3S-3FIFA213		1.248
5-HMPT829FP-SP3S-9WOLF015		1.248
0-SAR3-ER-PRL2-NODIA-95		2.4544
6-SAR5-9SCRCH55-RORED38-83		0.6656
8-SAR3-ER-LOP-GLD-12		3.12
7-HMPT8709-CX36HG-9SMAN336		0.312
KTZS312-P40S-86656012-445		2.288
8-SADS7301-SA708-10990293BLUE		0.0
8-SAR-NKLC15-CPRLCUK-51		4.8672
7-HMPT98-HOVER-T1-56RAINBW728		2.288
5-SAR3-NKEAR-2NK-SLV-15		15.808
8-HMPT85-C0X3-78MINCFT996		0.312
1-SAR-ARMLT25-GLDMCHN-95		1.144
9-HMPT350-SPS4-37CALLOFD067		2.288
7-10052311-3001-99080019		2.08
8-SH36SZLC-P4NM-7136BLCK		3.744
1-AAA-NK235-DARVADER-SILV518		0.936
1-HMPT58-HOVER-T1-86BLUFRE362		2.288
6-LZL86-LED-WW-6TEACDL66__SL		0.0
6-HMPT9875-XB36-21WDOG016		2.08
0-SAR-NKLC92-WHTFRG-2		2.3295999
9-HMPT659FP-S0X1-5MURD222		2.08
KTZS322-P40S-10996005-523		2.288
2-HMPT779FP-S0X1-0CODG205		2.08
3-HMPT6236-C0P4-00UNIVER231		0.312
2-WZLI6247-S0X1-09REAP0311		2.08
2-RUSL89-G-1NET-56151511GREN		4.576
8-RUSL3801-2G40-8505M37COLOR		0.0
2-RUS82-ROP51-6M8MD-695BLU_A		6.24
6-SAR3-PIN-BROOCH-6PK-25		4.6176
5-HMPT779FP-S0P4-2CODG204		2.288
6-HMPT458FP-SP3S-4JOMAN514		1.248
1-100129911-0001-63230008		0.832
RC_SW82_YLBU_001_300_L		8.112
6-HMPT68-YETI-2030-68BERDOGDER770		1.248
1-HMPT66-YETI-2030-36PEKOPERA773		1.248
RC_SW82_YLBU_001_300_M		8.112
6-SAR-ER13-BLKTSL-33		1.2272
1-XLY71-TOY-15HNDSPN-BLACK500		3.12
0-HMPT1258-CX36LH-8BTLFLG2507		0.312
1-HMPT9959-C0X1-8BTLFLG002		0.312
9-HMPT6901-CPS4HG-1GHOS216		0.312
0-HMPT5012-C0X1HG-2FLGHORZ557		0.312
RC_SW82_YLBU_001_300_S		8.112
6-ZHF16-P4BTN-BUTN-87ROSRD29		1.248
3-HMPT75-C0X3-99STARWAR888		0.312
3-SAR-1RNG78-SLV1ARW-33		2.548
1-10037931-1001-73920003		1.768
7-RUSL3081-1NET-63151599BLUE		3.328
0-HMPT83-PS4S-55SLIM-DOODL673		2.3295999
6-HMPT33-PS4S-62SLIM-002GALAXY826		2.3295999
2-HMPT909FP-S0X1-7THEF234		2.08
1-RUS11-AdpCu-10M6MD-337PUW		0.0
2-SAR3-RGBCLT-BTFLY-GLD-01		3.3696
RC_SWM8_ROGR_001-213_M		9.984
6-RUS11-ROP10-15M8MD-397PUW		14.144
7-SARA36-NKLC-5CIR-GLD516		4.368
RC_SWM8_ROGR_001-213_L		9.984
RC_SWM8_ROGR_001-213_S		9.984
1-SHUP75LC-X1CR-547GRN		1.872
8-SAR6-SKIRT-ROSE-52_XL		4.68
6-HMPT069FP-S0P4-2DBL3209		2.288
5-HMPT909FP-S0X3-7CODG205		2.08
KTZS332-P40S-00986004-798		2.288
5-WZLI2311-00P4-CODT0302		2.288
2-HMPT3390-C0X1-2STARSTRIP001		0.312
1-HMPT239FP-S0X1-9WOLF236		2.08
7-LZL66-LED-TRECDL88-7WG-6P573		6.136
8-HMPT85-YETI-2030-70LIOELEDER665		1.248
5-HMPT5355-CPS4-1PAINTS317		0.312
3-HMPT389FP-PS4S-4ASSC027		2.288
3-SAR5-LEGIN-BLALSTIR-25		1.248
6-SAR6-LEGIN-TPIC-KITTY-58		1.248
2-HBDL10-SPT-66MTLX-RED668		4.16
9-ZHOUF501-0PS3-CR09082SVLR		9.984
6-HMPT30-PS4S-66SLIM-GOLDEN968		2.3295999
6-SAR3-ER-LOP-SLV-60		3.12
2-HMPT399FP-S0P4-1MLBS221		2.288
7-HMPT67-HOVER-T1-66LITWAV768		2.288
8-SHLL9741-X1NM-BLCK0001_CE		3.744
5-HMPT56-HOVER-T5-20STASTRIP691		2.288
0-HMPT76-S0SW-13STARS136		1.664
2-SAR-ARMLT38-SLVMCHN-79		1.144
6-HMPT26-YETI-2030-12GLFYETDOG735		1.248
3-RUSL5091-METE-7250CM93WARMW		7.904
2-100167671-0001-25230007		0.832
6-XCP-SPT-BKE19-BELL-BLA8		0.14559999
6-HMPT10-SPS4-39BTMAN215		2.288
5-10031231-1001-92930005		1.768
6-HMPT2815-XB36-25CODW004		2.08
5-SAR3-BLT-THN-RED-52		2.288
7-HXL77-BAKET-65SCALE-BLUE866		8.736
7-SAR5-9SCARF50-J08N57-26		1.456
6-HMPT26DBL-CPS3-3BLUEDAEMON-BTLFLG		0.312
PS3S731-BUTFY670-200WZL		1.248
8-RUSL7951-1NET-32151515RED		3.328
5-SAR3-ER-CRYSTL-GRN-31		3.7481601
1-HMPT8786-CX36HG-6REBLK076		0.312
9-HMPT009FP-S0X3-9BRDER203		2.08
6-HMPT3961-SXBO-383BLUEFIRE003		2.08
5-ZF859-X3CTLR-307BLK		9.984
8-HMPT329FP-S0P4-8MURD223		2.288
2-100167671-0001-25230012		0.832
2-SAR3-NKLC-3CHN-PNK-19		0.6656
1-HMPT71DBL-C0X1-7BTLFLG-NEBULA		0.4576
2-RUS03-ROP21-9M8MD-579BLU_A		8.736
7-HMPT659FP-S0P4-6ODDW226		2.288
0-SHUP13LC-P4CR-500GRN		1.872
6-SAR5-8RING83-FLOWER83-01		3.0142944
3-SAR3-BTCUF-DRKGRY-00		1.248
3-SH77SZLC-P4CR-8126SLVR		3.744
3-SAR-ER5-PRLCWLR-68		2.6624
6-SAR-ARMLT53-SLVLEAF-93		1.1024001
8-RUSL2381-METE-2230CM79WARMW		5.824
7-SAR-3RGSET88-SLVFNSY-69		0.312
3-SAR6-LEGIN-TPIC-BEAR-23		1.248
1-HMPT18-S0SW-65BLFIRE622		1.664
2-SAR-3RGSET33-GLDWIDE-66		2.184
6-HMPT63-HOVER-25PIKCHERN363		2.184
3-SAR3-VR-RG-PIN-2FG-81		5.1376
KTZS902-P40S-22136005-564		2.288
5-SAR6-SKIRT-BLACK-20_L-1		4.68
2-HMPT6160-CX36HG-0DIGIPNK739		0.312
9-HMPT079FP-S0X1-5GUACA216		2.08
2-XCP-SPT-BKE32-BELL-BLE2		0.14559999
6-WZLI6247-S0P3-28TSMI0315		1.664
1-SAR3-PIN-CSTL-SLV-77		0.936
7-HMPT899FP-SX3S-4JUWD238		2.08
5-SAR5-5SCRCH60-BLK62-17		1.1232
9-RUSL5991-2NET-77203035WHITE		4.576
6-LZL60-TRECDL-10P907		9.88
3-AAA-NKERBRRG003-TQBSET-29		3.224
6-CABL5822-FLSH0098-25MM1982		0.39519998
6-SDLQ69-SPT-35-L723		5.616
6-SAR-ER29-BLKBD-63		0.99840003
5-SAR-NKLC18-SLV3CHN-15		0.832
7-SAR3-BCLT-PINPNT-SLV-58		5.2
9-RUSL51-G-1NET-36151522COLOR		4.576
5-DGMG66-ELC-56BTRC-BLK763		9.36
7-HMPT67-S0X1-78GLODEN177		2.08
3-SAR5-1RING63-ANTIQ89-02		4.2369604
7-SAR-NKLC31-CLRPTCH-39		0.0
8-HMPT979FP-S0P4-7LSTUS232		2.288
0-HMPT60-YETI-10OZ-63ROSEGREN912		1.248
2-LECH61-TEA-LEAF-913-ORPIYE686		1.6848
0-SARA88-NKLC-3RNG-GLD975		4.888
2-RUS72-BatCu-2MLT-069WMW		1.664
5-HMPT32-PS4S-68SLIM-WOODEN726		2.3295999
5-SAR5-LEGIN-IROMAN-92		3.536
2-HMPT12-SPS4-83PLYSTA2160		2.288
8-HMPT66-S0SW-89RBODOD969		1.664
8-10028621-0001-61340003		8.736
8-SAR3-NKEAR-2NK-GLD-93		15.808
1-HMPT7806-C0X1HG-6FLYLVN500		0.312
5-ZHOUF521-0PS3-CR13877GOLD_BX		9.984
6-SAR5-LEGIN-BLRED-06		3.536
1-ZHF38-P4BTN-THUM-23SIVER65		1.248
7-SAR-1RNGARW57-SLV-52		2.83296
5-SARA32-NKLC-2CHN-BAR-GLD122		2.808
4-10052561-3001-11230002		2.08
6-HMPT92-2CP4-6LTBAR-382		1.7055999
2-HMPT69-S0SW-69LOGO332		1.664
8-YWXD58-SPOT-33WRIST-B-GRN106		2.08
6-SGG62-KIT-88SPT-BLU158		1.248
6-SH12SZLC-P4CR-0252GOLD		3.744
3-SAR3-VR-ER-PIN-69		0.79039997
3-SAR-BCLT68-BLUSPIK-71		1.8824
8-SAR-ER58-WHTBD-60		0.99840003
3-SAR-ER91-DOTCROS-76		2.08
1-RUSL1651-2NET-58203022PURPL		4.576
6-SAR-CHKR93-PNKFMC-15		3.6504
7-SHUP69LC-X1CR-996BLU		1.872
2-HMPT0341-SXBO-921TITAN002		2.08
1-SADS7761-SA708-97060303GREN		0.0
6-SDLQ93-SPORT-87BLIND-13FT170		6.656
8-HMPT19-SPS4-80VATBOY279		2.288
7-SAR6-SKIRT-RED-36_XL		4.68
5-AKT75-WINCDL-86GLD-2P139		2.5792
9-10053421-SP4H-76580021		2.288
7-SAR-1RNG53-GLDSTR-39		0.3328
9-SAR5-6RING90-WSILV11-66		4.8462753
6-SAR-AKLT31-PURPBD-18		1.56
6-SAR-CHKR60-BLK1PRL -92		2.2672
6-SARA26-BCLT-11SET-GLD835		4.16
2-SAR5-3SCRCH92-BLU06-60		1.1232
1-100129911-0001-66230008		0.832
7-AKT32-WINCDL-86GLD-10P530		10.7744
6-SHLL9091-X1NM-WHTE0002		3.744
2-HMPT219FP-SP3S-9DSOUL2009		1.248
2-HMPT069FP-S0P4-7NBA14225		2.288
3-ZX65-RTN30-90WW		0.0
0-SAR6-ER-38TRISUA-PLT968		1.05664
5-HXL97-BAKET-82WAVE-PINK186		8.736
5-SAR3-NKLC-3CHN-AROW-70		2.184
9-RUSL6561-3G40-7205M26WHTE		0.0
RC_SW76_BLVBU_608_3B_S		17.68
1-DYYY75-HM-58XMAS-TREE-21M957_USE		17.68
7-HMPT129FP-SP3S-6BLFD4004		1.248
RC_SW76_BLVBU_608_3B_L		17.68
5-HMPT2955-CPS4HG-5DIGIRED095		0.312
RC_SW76_BLVBU_608_3B_M		17.68
1-HMPT43-SPS4-96FOONFL525		2.288
9-HMPT989FP-S0P4-6DBL3208		2.288
3-ZHF10-P4BTN-DPAD-38BLUE76		1.56
2-HMPT19-PS4S-98SLIM-WEDBLK195		2.3295999
3-HMPT87-HOVER-96RAINBW765		2.184
5-SWZF68-SWCH4-26BLA-HAND278		3.328
3-HMPT0395-CPS3HG-5FLGHORZ305		0.312
9-RUS08-ROP56-12M8MD-935BLU		11.024
2-YKT79-LED-PROJLT16-REMT-20RT666		18.928
5-HMPT6321-SPS4-82UNITY008		2.288
6-WZLI2983-SP40-96WOOD032		2.288
0-HMPT699FP-S0X3-0NBA14224		2.08
8-HMPT1326-S0X3-3BIOH206		2.08
RC_TOP4_FLPP_017-700_M		5.2
7-10058871-3001-00910015		2.08
0-SAR5-9RING77-ANTIQ38-28		3.2967584
9-SAR5-5SCK-CYT82-BLKCRY52-50		1.9136
RC_TOP4_FLPP_017-700_S		5.2
5-HMPT899FP-S0X3-2HALO4217		2.08
6-NHLW29-SPT-36BKBEL-LV-PUR156		0.24960001
8-AAA-NK008-HEART-83		0.624
8-HMPT959FP-SP3S-0LSTUS231		1.248
1-SHLL3911-X1NM-GREN0007-SDRIVER		4.784
3-RUS37-ROP07-12M8MD-558PUW		11.648
3-JM78-HM-WRTHBAG-90-30IN-RED870		2.8496
8-HMPT295-SPS4-53CALLOFD698		2.288
6-HMPT66-S0SW-36PIFIRE939		1.664
0-HMPT02-SPS4-01VATBOY280		2.288
2-HMPT559FP-S0X3-9LGOMV233		2.08
0-WZLI0247-S0X1-12GHOS0313		2.08
8-HMPT66-HOVER-T5-61PURLIT262		2.288
7-TOOLX3SR-T8H-PHILP002		0.52
5-SAR-3RGSET0-GLDFNSY-26		0.312
8-SAR-NKLC80-ARWLYR-26		1.9136
2-SAR-ER8-GLDS2PRL-72-BX		0.416
9-LZ50SH-2X36-5BLK-GRN-KWH		3.536
3-SAR-BCLT1-REDPRL-35		2.288
8-HMPT869FP-S0X1-8PVSZ227		2.08
RC_SW21_BKPP_013_100_M		7.28
RC_SW21_BKPP_013_100_L		7.28
RC_SW21_BKPP_013_100_S		7.28
8-HMPT65-HOVER-T1-18PURLIT215		2.288
9-SAR5-3SCK-PRL81-KAKPER03-07		1.4976
