TQS_SKU,TQSA_ASIN,TQS_Fnsku,SS_SKU,WSD_SKU,VE_SKU,AD_SKU,HG_SKU,SQB_SKU,Price
7-100072801-1001-38620002,B00J1EW6OO,X000KK8MH9,ss_dec-ctl-001,SKULRED-HM9-3-C0P3-3LH,SKULRED-HM9-3-C0P3-3LH-VE,,,,1.5
7-100072801-1001-38620003,B00J1F1CZM,X000KK8N7D,ss_dec-ctl-005,DIGIGRN-HM1-8-C0P3-7LH,DIGIGRN-HM1-8-C0P3-7LH-VE,,,,1.5
7-100072801-1001-38620004,B00J1F22EW,X000KK8NAF,ss-dec-ctl-003,WEDBLK1-HM2-5-C0P3-8LH,WEDBLK1-HM2-5-C0P3-8LH-VE,,,,1.5
7-100072801-1001-38620005,B00J1F2GGQ,X000KK8NB9,ss-dec-ctl-012,CAMFLG-HM0-8-C0P3-8LH,CAMFLG-HM0-8-C0P3-8LH-VE,,,,1.5
7-100072801-1001-38620006,B00J1F34C6,X000KK8NCD,ss-dec-ctl-013,BLUEXP-HM6-0-C0P3-9LH,BLUEXP-HM6-0-C0P3-9LH-VE,,,,1.5
7-100072801-1001-38620007,B00J1F4DD0,X000KK8NHD,ss-dec-ctl-002,BLUDMN-HM5-7-C0P3-8LH,BLUDMN-HM5-7-C0P3-8LH-VE,,,,1.5
7-100072801-1001-38620008,B00J1F4UU6,X000KK8NI7,,WOODGRN-HM1-2-C0P3-2LH,WOODGRN-HM1-2-C0P3-2LH-VE,,,,1.5
7-100072801-1001-38620009,B00J1F6QR6,X000KK8NJV,,FLGSLNT-HM9-2-C0P3-0LH,FLGSLNT-HM9-2-C0P3-0LH-VE,,,,1.5
7-100072801-1001-38620010,B00J1F7Q8E,X000KK8NKZ,ss-dec-ctl-015,BTLFLG1-HM6-2-C0P3-6LH,BTLFLG1-HM6-2-C0P3-6LH-VE,,,,1.5
7-100072801-1001-38620011,B00J1F8NJU,X000KK8NMN,ss_dec-ctl-007,MONEY1-HM5-7-C0P3-0LH,MONEY1-HM5-7-C0P3-0LH-VE,,,,1.5
7-100072801-1001-38620012,B00J1FA4MO,X000KK8NNR,ss-dec-ctl-016,FLYLVN-HM0-6-C0P3-1LH,FLYLVN-HM0-6-C0P3-1LH-VE,,,,1.5
7-100072801-1001-38620013,B00J1FAPWS,X000KK8NXR,ss_dec-ctl-006,FLYPNK-HM7-3-C0P3-5LH,FLYPNK-HM7-3-C0P3-5LH-VE,,,,1.5
7-100072801-1001-68620001,B017HPH22Y,X000KK8R83,ss-dec-ctl-004,SMAN-HM9-0-C0P3-5LH,SMAN-HM9-0-C0P3-5LH-VE,,,,1.5
9-HMPT9247-CPS3-98MONEYA,B001NND2EO,X000OQDU5D,C0P395-MONEYA-HMT771,MONEY2-HM1-8-C0P3-3HG,MONEY2-HM1-8-C0P3-3HG-VE,,,,1.5
9-HMPT1247-CPS3-72STARSTRIP,B001NN7AV0,X000OQDU5N,C0P339-STARSTRIP-HMT762,FLGHORZ-HM5-9-C0P3-0HG,FLGHORZ-HM5-9-C0P3-0HG-VE,,,,1.5
9-HMPT8247-CPS3-09WEED,B001NN9DC4,X000OQDU3Z,C0P367-WEED-HMT568,WEDBLK2-HM1-0-C0P3-0HG,WEDBLK2-HM1-0-C0P3-0HG-VE,,,,1.5
0-HMPT73-C0P3-89JOBTMAN618,,,C0P303-JOBTMAN-HMT330,JOBTMAN-HM17-2-C0P359,JOBTMAN-HM17-2-C0P359-VE,9HMP-1-JOBTMAN96-7-C0P3,,,1.5
3-HMPT21-C0P3-35MINCFT919,,,C0P338-MINCFT-HMT673,MINCFT-HM11-1-C0P336,MINCFT-HM11-1-C0P336-VE,7HMP-5-MINCFT53-8-C0P3,,,1.5
3-HMPT92-C0P3-71STARWAR852,,,C0P312-STARWAR-HMT165,STARWAR-HM19-8-C0P393,STARWAR-HM19-8-C0P393-VE,0HMP-5-STARWAR31-3-C0P3,,,1.5
1-HMPT02-C0P3-85SUHEROES729,,,C0P397-SUHEROES-HMT339,SUHEROES-HM15-0-C0P332,SUHEROES-HM15-0-C0P332-VE,1HMP-8-SUHEROES58-9-C0P3,,,1.5
3-HMPT6541-CPS3LH-2FRFLAG545,B019HB8D92,X000X70XWB,,FRFLAG-HM39-6-COP323-LH8,FRFLAG-HM39-6-COP323-LH8-VE,,,,1.5
5-HMPT6573-CPS3LH-3BTLFLG2771,B017HPIWXM,X000W1ZOZ9,C0P368-BTLFLG-HMT690,BTLFLG-HM57-2-COP381-LH3,BTLFLG-HM57-2-COP381-LH3-VE,,,,1.5
1-HMPT0289-CPS3LH-9DIGIPNK752,B017HPIZBG,X000W1ZP0X,C0P363-DIGIPNK-HMT380,DIGIPNK-HM92-3-COP370-LH8,DIGIPNK-HM92-3-COP370-LH8-VE,,,,1.5
